Date,Tag,Origin,Port,Bags
2023-07-18,Certs,Brazil,Antwerp,151464
2023-07-18,Certs,Brazil,Barcelona,0
2023-07-18,Certs,Brazil,Ham/Bre,8445
2023-07-18,Certs,Brazil,Houston,0
2023-07-18,Certs,Brazil,Miami,0
2023-07-18,Certs,Brazil,New Orleans,0
2023-07-18,Certs,Brazil,New York,3814
2023-07-18,Certs,Brazil,Virginia,1450
2023-07-18,Certs,Burundi,Antwerp,2480
2023-07-18,Certs,Burundi,Barcelona,0
2023-07-18,Certs,Burundi,Ham/Bre,105
2023-07-18,Certs,Burundi,Houston,0
2023-07-18,Certs,Burundi,Miami,0
2023-07-18,Certs,Burundi,New Orleans,0
2023-07-18,Certs,Burundi,New York,0
2023-07-18,Certs,Burundi,Virginia,0
2023-07-18,Certs,Colombia,Antwerp,0
2023-07-18,Certs,Colombia,Barcelona,0
2023-07-18,Certs,Colombia,Ham/Bre,0
2023-07-18,Certs,Colombia,Houston,0
2023-07-18,Certs,Colombia,Miami,0
2023-07-18,Certs,Colombia,New Orleans,275
2023-07-18,Certs,Colombia,New York,1340
2023-07-18,Certs,Colombia,Virginia,0
2023-07-18,Certs,El Salvador,Antwerp,250
2023-07-18,Certs,El Salvador,Barcelona,0
2023-07-18,Certs,El Salvador,Ham/Bre,0
2023-07-18,Certs,El Salvador,Houston,0
2023-07-18,Certs,El Salvador,Miami,0
2023-07-18,Certs,El Salvador,New Orleans,0
2023-07-18,Certs,El Salvador,New York,0
2023-07-18,Certs,El Salvador,Virginia,0
2023-07-18,Certs,Honduras,Antwerp,341957
2023-07-18,Certs,Honduras,Barcelona,0
2023-07-18,Certs,Honduras,Ham/Bre,8351
2023-07-18,Certs,Honduras,Houston,0
2023-07-18,Certs,Honduras,Miami,0
2023-07-18,Certs,Honduras,New Orleans,0
2023-07-18,Certs,Honduras,New York,275
2023-07-18,Certs,Honduras,Virginia,0
2023-07-18,Certs,India,Antwerp,5
2023-07-18,Certs,India,Barcelona,0
2023-07-18,Certs,India,Ham/Bre,0
2023-07-18,Certs,India,Houston,0
2023-07-18,Certs,India,Miami,0
2023-07-18,Certs,India,New Orleans,0
2023-07-18,Certs,India,New York,0
2023-07-18,Certs,India,Virginia,0
2023-07-18,Certs,Mexico,Antwerp,1104
2023-07-18,Certs,Mexico,Barcelona,0
2023-07-18,Certs,Mexico,Ham/Bre,500
2023-07-18,Certs,Mexico,Houston,0
2023-07-18,Certs,Mexico,Miami,0
2023-07-18,Certs,Mexico,New Orleans,0
2023-07-18,Certs,Mexico,New York,0
2023-07-18,Certs,Mexico,Virginia,0
2023-07-18,Certs,Nicaragua,Antwerp,3001
2023-07-18,Certs,Nicaragua,Barcelona,0
2023-07-18,Certs,Nicaragua,Ham/Bre,0
2023-07-18,Certs,Nicaragua,Houston,0
2023-07-18,Certs,Nicaragua,Miami,0
2023-07-18,Certs,Nicaragua,New Orleans,0
2023-07-18,Certs,Nicaragua,New York,0
2023-07-18,Certs,Nicaragua,Virginia,0
2023-07-18,Certs,Peru,Antwerp,10095
2023-07-18,Certs,Peru,Barcelona,0
2023-07-18,Certs,Peru,Ham/Bre,1060
2023-07-18,Certs,Peru,Houston,0
2023-07-18,Certs,Peru,Miami,0
2023-07-18,Certs,Peru,New Orleans,0
2023-07-18,Certs,Peru,New York,0
2023-07-18,Certs,Peru,Virginia,0
2023-07-18,Certs,Rwanda,Antwerp,5010
2023-07-18,Certs,Rwanda,Barcelona,0
2023-07-18,Certs,Rwanda,Ham/Bre,0
2023-07-18,Certs,Rwanda,Houston,0
2023-07-18,Certs,Rwanda,Miami,0
2023-07-18,Certs,Rwanda,New Orleans,0
2023-07-18,Certs,Rwanda,New York,285
2023-07-18,Certs,Rwanda,Virginia,0
2023-07-18,Pending,Colombia,Antwerp,0
2023-07-18,Pending,Colombia,Barcelona,0
2023-07-18,Pending,Colombia,Ham/Bre,0
2023-07-18,Pending,Colombia,Houston,275
2023-07-18,Pending,Colombia,Miami,0
2023-07-18,Pending,Colombia,New Orleans,1888
2023-07-18,Pending,Colombia,New York,285
2023-07-18,Pending,Colombia,Virginia,1648
2023-07-18,Pending,Mexico,Antwerp,0
2023-07-18,Pending,Mexico,Barcelona,0
2023-07-18,Pending,Mexico,Ham/Bre,0
2023-07-18,Pending,Mexico,Houston,0
2023-07-18,Pending,Mexico,Miami,0
2023-07-18,Pending,Mexico,New Orleans,0
2023-07-18,Pending,Mexico,New York,275
2023-07-18,Pending,Mexico,Virginia,0
2023-07-19,Certs,Brazil,Antwerp,151464
2023-07-19,Certs,Brazil,Barcelona,0
2023-07-19,Certs,Brazil,Ham/Bre,8445
2023-07-19,Certs,Brazil,Houston,0
2023-07-19,Certs,Brazil,Miami,0
2023-07-19,Certs,Brazil,New Orleans,0
2023-07-19,Certs,Brazil,New York,3814
2023-07-19,Certs,Brazil,Virginia,1450
2023-07-19,Certs,Burundi,Antwerp,2480
2023-07-19,Certs,Burundi,Barcelona,0
2023-07-19,Certs,Burundi,Ham/Bre,105
2023-07-19,Certs,Burundi,Houston,0
2023-07-19,Certs,Burundi,Miami,0
2023-07-19,Certs,Burundi,New Orleans,0
2023-07-19,Certs,Burundi,New York,0
2023-07-19,Certs,Burundi,Virginia,0
2023-07-19,Certs,Colombia,Antwerp,0
2023-07-19,Certs,Colombia,Barcelona,0
2023-07-19,Certs,Colombia,Ham/Bre,0
2023-07-19,Certs,Colombia,Houston,0
2023-07-19,Certs,Colombia,Miami,0
2023-07-19,Certs,Colombia,New Orleans,275
2023-07-19,Certs,Colombia,New York,1340
2023-07-19,Certs,Colombia,Virginia,0
2023-07-19,Certs,El Salvador,Antwerp,250
2023-07-19,Certs,El Salvador,Barcelona,0
2023-07-19,Certs,El Salvador,Ham/Bre,0
2023-07-19,Certs,El Salvador,Houston,0
2023-07-19,Certs,El Salvador,Miami,0
2023-07-19,Certs,El Salvador,New Orleans,0
2023-07-19,Certs,El Salvador,New York,0
2023-07-19,Certs,El Salvador,Virginia,0
2023-07-19,Certs,Honduras,Antwerp,341957
2023-07-19,Certs,Honduras,Barcelona,0
2023-07-19,Certs,Honduras,Ham/Bre,8351
2023-07-19,Certs,Honduras,Houston,0
2023-07-19,Certs,Honduras,Miami,0
2023-07-19,Certs,Honduras,New Orleans,0
2023-07-19,Certs,Honduras,New York,275
2023-07-19,Certs,Honduras,Virginia,0
2023-07-19,Certs,India,Antwerp,5
2023-07-19,Certs,India,Barcelona,0
2023-07-19,Certs,India,Ham/Bre,0
2023-07-19,Certs,India,Houston,0
2023-07-19,Certs,India,Miami,0
2023-07-19,Certs,India,New Orleans,0
2023-07-19,Certs,India,New York,0
2023-07-19,Certs,India,Virginia,0
2023-07-19,Certs,Mexico,Antwerp,1104
2023-07-19,Certs,Mexico,Barcelona,0
2023-07-19,Certs,Mexico,Ham/Bre,500
2023-07-19,Certs,Mexico,Houston,0
2023-07-19,Certs,Mexico,Miami,0
2023-07-19,Certs,Mexico,New Orleans,0
2023-07-19,Certs,Mexico,New York,0
2023-07-19,Certs,Mexico,Virginia,0
2023-07-19,Certs,Nicaragua,Antwerp,3001
2023-07-19,Certs,Nicaragua,Barcelona,0
2023-07-19,Certs,Nicaragua,Ham/Bre,0
2023-07-19,Certs,Nicaragua,Houston,0
2023-07-19,Certs,Nicaragua,Miami,0
2023-07-19,Certs,Nicaragua,New Orleans,0
2023-07-19,Certs,Nicaragua,New York,0
2023-07-19,Certs,Nicaragua,Virginia,0
2023-07-19,Certs,Peru,Antwerp,10095
2023-07-19,Certs,Peru,Barcelona,0
2023-07-19,Certs,Peru,Ham/Bre,1060
2023-07-19,Certs,Peru,Houston,0
2023-07-19,Certs,Peru,Miami,0
2023-07-19,Certs,Peru,New Orleans,0
2023-07-19,Certs,Peru,New York,0
2023-07-19,Certs,Peru,Virginia,0
2023-07-19,Certs,Rwanda,Antwerp,5010
2023-07-19,Certs,Rwanda,Barcelona,0
2023-07-19,Certs,Rwanda,Ham/Bre,0
2023-07-19,Certs,Rwanda,Houston,0
2023-07-19,Certs,Rwanda,Miami,0
2023-07-19,Certs,Rwanda,New Orleans,0
2023-07-19,Certs,Rwanda,New York,285
2023-07-19,Certs,Rwanda,Virginia,0
2023-07-19,Failed,Colombia,Antwerp,0
2023-07-19,Failed,Colombia,Barcelona,0
2023-07-19,Failed,Colombia,Ham/Bre,0
2023-07-19,Failed,Colombia,Houston,275
2023-07-19,Failed,Colombia,Miami,0
2023-07-19,Failed,Colombia,New Orleans,0
2023-07-19,Failed,Colombia,New York,285
2023-07-19,Failed,Colombia,Virginia,1648
2023-07-19,Pending,Colombia,Antwerp,0
2023-07-19,Pending,Colombia,Barcelona,0
2023-07-19,Pending,Colombia,Ham/Bre,0
2023-07-19,Pending,Colombia,Houston,275
2023-07-19,Pending,Colombia,Miami,0
2023-07-19,Pending,Colombia,New Orleans,1888
2023-07-19,Pending,Colombia,New York,285
2023-07-19,Pending,Colombia,Virginia,1648
2023-07-19,Pending,Mexico,Antwerp,0
2023-07-19,Pending,Mexico,Barcelona,0
2023-07-19,Pending,Mexico,Ham/Bre,0
2023-07-19,Pending,Mexico,Houston,0
2023-07-19,Pending,Mexico,Miami,0
2023-07-19,Pending,Mexico,New Orleans,0
2023-07-19,Pending,Mexico,New York,275
2023-07-19,Pending,Mexico,Virginia,0
2023-07-20,Certs,Brazil,Antwerp,151464
2023-07-20,Certs,Brazil,Barcelona,0
2023-07-20,Certs,Brazil,Ham/Bre,8445
2023-07-20,Certs,Brazil,Houston,0
2023-07-20,Certs,Brazil,Miami,0
2023-07-20,Certs,Brazil,New Orleans,0
2023-07-20,Certs,Brazil,New York,3814
2023-07-20,Certs,Brazil,Virginia,1450
2023-07-20,Certs,Burundi,Antwerp,2480
2023-07-20,Certs,Burundi,Barcelona,0
2023-07-20,Certs,Burundi,Ham/Bre,105
2023-07-20,Certs,Burundi,Houston,0
2023-07-20,Certs,Burundi,Miami,0
2023-07-20,Certs,Burundi,New Orleans,0
2023-07-20,Certs,Burundi,New York,0
2023-07-20,Certs,Burundi,Virginia,0
2023-07-20,Certs,Colombia,Antwerp,0
2023-07-20,Certs,Colombia,Barcelona,0
2023-07-20,Certs,Colombia,Ham/Bre,0
2023-07-20,Certs,Colombia,Houston,0
2023-07-20,Certs,Colombia,Miami,0
2023-07-20,Certs,Colombia,New Orleans,275
2023-07-20,Certs,Colombia,New York,1340
2023-07-20,Certs,Colombia,Virginia,0
2023-07-20,Certs,El Salvador,Antwerp,250
2023-07-20,Certs,El Salvador,Barcelona,0
2023-07-20,Certs,El Salvador,Ham/Bre,0
2023-07-20,Certs,El Salvador,Houston,0
2023-07-20,Certs,El Salvador,Miami,0
2023-07-20,Certs,El Salvador,New Orleans,0
