Date,File to download
2023-07-28,coffee_cert_stock_20230728.xls
2023-07-31,coffee_cert_stock_20230731.xls
2023-08-01,coffee_cert_stock_20230801.xls
2023-08-02,coffee_cert_stock_20230802.xls
2023-08-03,coffee_cert_stock_20230803.xls
2023-08-04,coffee_cert_stock_20230804.xls
2023-08-07,coffee_cert_stock_20230807.xls
2023-08-11,coffee_cert_stock_20230811.xls
2023-08-16,coffee_cert_stock_20230816.xls
2023-08-17,coffee_cert_stock_20230817.xls
2023-08-18,coffee_cert_stock_20230818.xls
2023-08-21,coffee_cert_stock_20230821.xls
2023-08-22,coffee_cert_stock_20230822.xls
2023-08-23,coffee_cert_stock_20230823.xls
2023-08-24,coffee_cert_stock_20230824.xls
2023-08-25,coffee_cert_stock_20230825.xls
2023-08-28,coffee_cert_stock_20230828.xls
2023-08-29,coffee_cert_stock_20230829.xls
2023-08-30,coffee_cert_stock_20230830.xls
2023-08-31,coffee_cert_stock_20230831.xls
2023-09-01,coffee_cert_stock_20230901.xls
2023-09-05,coffee_cert_stock_20230905.xls
2023-09-06,coffee_cert_stock_20230906.xls
2023-09-12,coffee_cert_stock_20230912.xls
2023-09-13,coffee_cert_stock_20230913.xls
2023-09-14,coffee_cert_stock_20230914.xls
2023-09-19,coffee_cert_stock_20230919.xls
2023-09-21,coffee_cert_stock_20230921.xls
2023-09-22,coffee_cert_stock_20230922.xls
2023-09-26,coffee_cert_stock_20230926.xls
2023-09-27,coffee_cert_stock_20230927.xls
2023-10-02,coffee_cert_stock_20231002.xls
2023-10-09,coffee_cert_stock_20231009.xls
2023-10-20,coffee_cert_stock_20231020.xls
2023-10-23,coffee_cert_stock_20231023.xls
2023-10-24,coffee_cert_stock_20231024.xls
2023-10-25,coffee_cert_stock_20231025.xls
2023-10-26,coffee_cert_stock_20231026.xls
2023-10-27,coffee_cert_stock_20231027.xls
2023-10-30,coffee_cert_stock_20231030.xls
2023-10-31,coffee_cert_stock_20231031.xls
2023-11-01,coffee_cert_stock_20231101.xls
2023-11-02,coffee_cert_stock_20231102.xls
2023-11-03,coffee_cert_stock_20231103.xls
2023-11-06,coffee_cert_stock_20231106.xls
2023-11-07,coffee_cert_stock_20231107.xls
2023-11-08,coffee_cert_stock_20231108.xls
2023-11-09,coffee_cert_stock_20231109.xls
2023-11-10,coffee_cert_stock_20231110.xls
2023-11-16,coffee_cert_stock_20231116.xls
2023-12-11,coffee_cert_stock_20231211.xls
2024-02-07,coffee_cert_stock_20240207.xls
2024-02-29,coffee_cert_stock_20240229.xls
2024-03-20,coffee_cert_stock_20240320.xls
